"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"92","KHM","Cambodia","KHM.22_1","Stœng Trêng",NA,"KHM.22.4_1","Stueng Traeng",NA,NA,"Srok","District",NA,"KH.ST.ST"
"93","KHM","Cambodia","KHM.22_1","Stœng Trêng",NA,"KHM.22.5_1","Thala Barivat",NA,NA,"Srok","District",NA,"KH.ST.TB"
"94","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.1_1","Chantrea",NA,NA,"Srok","District",NA,"KH.SR.CT"
"95","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.2_1","Kampong Rou",NA,NA,"Srok","District",NA,"KH.SR.KR"
"96","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.3_1","Romeas Haek",NA,NA,"Srok","District",NA,"KH.SR.RH"
"97","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.4_1","Rumduol",NA,NA,"Srok","District",NA,"KH.SR.RD"
"98","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.5_1","Svay Chrum",NA,NA,"Srok","District",NA,"KH.SR.SC"
"99","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.6_1","Svay Rieng",NA,NA,"Srok","District",NA,"KH.SR.SR"
"100","KHM","Cambodia","KHM.23_1","Svay Rieng",NA,"KHM.23.7_1","Svay Teab",NA,NA,"Srok","District",NA,"KH.SR.ST"
"101","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.1_1","Angkor Borei",NA,NA,"Srok","District",NA,"KH.TA.AB"
"103","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.2_1","Bati",NA,NA,"Srok","District",NA,"KH.TA.BT"
"104","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.3_1","Bourei Cholsar",NA,NA,"Srok","District",NA,"KH.TA.BC"
"105","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.4_1","Doun Kaev",NA,NA,"Srok","District",NA,"KH.TA.DK"
"106","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.5_1","Kaoh Andaet",NA,NA,"Srok","District",NA,"KH.TA.KA"
"107","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.6_1","Kiri Vong",NA,NA,"Srok","District",NA,"KH.TA.KV"
"108","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.7_1","Prey Kabbas",NA,NA,"Srok","District",NA,"KH.TA.PK"
"109","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.8_1","Samraong",NA,NA,"Srok","District",NA,"KH.OC.SR"
"110","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.9_1","Tram Kak",NA,NA,"Srok","District",NA,"KH.TA.TK"
"102","KHM","Cambodia","KHM.24_1","Takêv",NA,"KHM.24.10_1","Treang",NA,NA,"Srok","District",NA,"KH.TA.TG"
"111","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.1_1","Dambae",NA,NA,"Srok","District",NA,"KH.KM.DB"
"112","KHM","Cambodia","KHM.25_1","Tbong Khmum",NA,"KHM.25.2_1","Kampong Siem",NA,NA,"Srok","District",NA,"KH.KM.KS"
